FOOD,REFUSE (%),WATER (g),ENERGY (Kcal),PROTEIN (g),FAT (g),ASH (g),FIBER (g),CARBOHYDRATE (g),SODIUM (mg),POTASSIUM (mg),CALCIUM (mg),PHOSPHORUS (mg),MAGNESIUM (mg),IRON (mg),ZINC (mg),COPPER (mg),VITAMIN A (ugre),VITAMIN C (mg),THIAMIN (mg),REBOFLAVIN (mg)
Grilled Fish,0.26,75.06,150.27,24.69,5.37,2.14,5.45,0,507.88,511.27,73.87,99.04,85.9,4.55,4.03,0.28,250.09,18.67,0.24,0.22
Olive Oil,6.21,56.75,2887.09,0,326.59,0.85,5.47,0,491.38,286.43,186.55,154.95,63.44,5.18,1.9,0.19,24.21,36.85,0.5,0.32
Taameya Fried,10.61,52.5,415.71,16.89,23.38,1.91,0.88,33.78,221.91,233.06,38.99,118.2,22.02,2.87,2.1,0.07,673.99,18.11,0.4,0.28
Ful Medames,1.03,57.08,361.68,24.11,10.72,0.61,1.35,53.58,175.46,229.2,106.16,145.52,99.33,4.72,2.35,0.34,727.83,23.64,0.25,0.45
Qatayef Asafiri,12.54,43.19,1221.55,20.36,48.86,0.69,2.93,162.87,271.74,519.94,122.41,77.03,27.65,0.5,3.83,0.24,590.81,49.59,0.35,0.25
Mahshi Mixed,2.76,43.27,586.98,25.16,20.96,1.86,5.76,75.47,523.81,497.2,105.39,116.58,69.93,5.04,3.78,0.01,602.57,47.89,0.33,0.43
Zucchini Stew,9.11,67.49,126.51,2.81,4.22,0.66,3.73,16.87,508.24,351.14,150.32,294.43,24.07,1.8,0.92,0.3,400.69,38.06,0.21,0.11
Zucchini Stew,7.76,55.82,81.43,1.81,2.71,0.75,1.88,10.86,283.62,359.9,73.34,104.82,26.06,2.96,2.88,0.09,417.53,36.84,0.49,0.44
Pasta Cooked,7.44,54.32,621.17,22.8,3.54,2.21,7.38,121.48,496.91,322.29,134.68,98.08,47.52,3.59,0.57,0.3,784.32,14.3,0.06,0.25
Karkade,14.3,53.85,75.1,0.25,0,1.84,3.92,17.52,406.46,366.93,132.65,298.58,91.74,0.6,1.32,0.26,82.49,2.03,0.02,0.22
Chickpeas Cooked,1.08,59.09,810.74,44.49,12.85,1,1.62,133.48,492.67,403.5,81.93,197.45,25.89,5.67,4.51,0.48,131.06,43.55,0.42,0.28
Boiled Egg,8.19,45.32,594.19,49.84,42.17,1.14,2.79,4.22,255.08,233.93,22.06,53.7,55.75,2.83,2.7,0.21,338.73,11.95,0.38,0.29
Atayef,11.67,69.83,1490.63,27.95,55.9,0.96,4.43,186.33,545.29,383.61,198.77,56.12,102.48,1.09,2.89,0.31,354.66,56.06,0.35,0.06
Om Ali,3.01,50.3,703.78,19.19,25.59,0.99,4.55,95.97,435.63,415.77,77.81,207.56,58.99,0.86,2.67,0.32,290.06,44.07,0.17,0.48
Fried Fish,5.02,74.74,453.71,41.25,28.87,2.31,4.51,0,246.28,144.25,126.01,69.21,38.62,5.68,3.51,0.17,327.55,21.7,0.19,0.5
Moussaka Egyptian,5.87,53.76,179.13,8.27,8.27,1.61,4.66,16.54,455.71,510.51,167.66,110.28,24.73,3.37,2.03,0.4,561.23,28.51,0.13,0.38
Chicken Thigh Stewed,12.02,66.28,1042.56,129.08,54.61,2.48,7.38,0,213.26,389.49,55.6,236.27,102.47,0.79,0.95,0.04,98.41,44.62,0.05,0.07
Grilled Fish,4.04,64.34,729.64,119.87,26.06,1.6,5.01,0,113.08,430,132.88,210.5,17.59,0.25,3.54,0.42,18.76,8.33,0.08,0.21
Kaak,9,52.42,1955.61,27.94,102.44,1.63,1.8,139.69,158.27,466.96,25.36,98.78,51.43,5.18,3.84,0.06,402.81,28.1,0.28,0.4
Molokhia,2.56,64.17,106.85,6.8,3.89,1.16,1.43,11.66,343.21,131.6,80.4,148.27,44.12,3.38,3.01,0.3,706.51,18.94,0.26,0.45
Roasted Chicken,5.59,40.71,718.16,85.5,37.62,2.46,0.4,0,343.3,144.07,159.75,175.03,99.9,2.96,2.96,0.43,129.87,51.38,0.1,0.01
Orange,3.36,49.59,196.42,3.76,0.42,2.2,5.52,50.15,247.7,290.4,117.23,219.18,80.18,5.54,1.93,0.1,550.36,6.46,0.03,0.19
Fried Fish,7,79.52,975.8,88.71,62.1,1.28,4.23,0,202.31,223.97,106.14,175.16,51.98,4.39,0.96,0.34,303.02,25.6,0.03,0.09
Sahlab,8.76,67.57,603.02,12.06,20.1,1.05,6.46,100.5,337.34,528.36,19.88,107.11,100.81,0.94,4.81,0.06,537.92,23.74,0.48,0.32
Vegetable Oil,4.91,73.34,933.64,0,105.62,0.69,6.07,0,164.48,363.93,107.32,245.26,69.2,4.79,1.22,0.2,329.14,57.35,0.11,0.02
Kofta,1.36,46.62,818.5,62.96,56.67,0.63,3.73,15.74,419.9,345.05,84.44,65.95,15.51,1.53,1.29,0.47,34.24,57.98,0.16,0.45
Moussaka Egyptian,10.37,43.72,571.75,26.39,26.39,0.54,0.66,52.78,220.59,576.38,11.99,71.51,96.04,5.73,2.87,0.25,714.99,28.53,0.14,0.08
Ghorayeba,12.08,64.15,1305.47,13.6,87.03,0.67,0.63,76.15,155.83,319.19,82.18,217.27,116.91,0.89,4.45,0.03,480,34.69,0.35,0.32
Qatayef Asafiri,6.12,64.07,1431.88,23.86,57.28,1.9,4.23,190.92,445.66,477.63,96.32,129.75,75.65,0.48,3.26,0.48,341.66,31.58,0.31,0.34
Black Coffee,2.16,65.8,10.56,0,0,2.13,2.68,0,186.4,217.79,24.66,217.94,46.63,5.61,1.86,0.08,732.55,34.98,0.45,0.49
Rice Pudding,0.21,42.3,557,13.93,13.93,2.15,2.06,102.12,496.83,219.34,127.99,178.87,107.28,5.52,4.06,0.18,122.46,11.41,0.43,0.24
Mango,8.99,48.55,155.54,2.07,1.04,1.42,7.97,38.89,377.79,595.16,16.8,68.67,32.03,5.54,0.83,0.25,593.81,10.55,0.41,0.29
Rice Pudding,14.52,43.44,504.4,12.61,12.61,1.31,1.46,92.47,98.96,581.92,75.62,289.91,109.4,5.59,3.98,0.17,47.21,24.78,0.44,0.5
Mahshi Mixed,1.95,78.89,506.73,21.72,18.1,1.23,4.1,65.15,204.28,232.1,90.03,258.9,12.55,1.67,4.41,0.16,265.8,18.99,0.27,0.14
Black Coffee,12.14,50.04,8.25,0,0,1.23,7.07,0,385.26,375.3,119.7,229.19,69.75,4.2,3.04,0.06,645.66,51.87,0.03,0.33
Omelette,3.67,73.39,230.98,16.68,16.68,2.32,2.26,2.57,515,122.2,162.04,102.47,65.78,2.53,3,0.15,576.23,49.12,0.23,0.24
Boiled Egg,9.59,73.33,214.6,18,15.23,0.55,3.41,1.52,549.53,474.82,142.7,210.1,34.06,3.43,1.25,0.26,797,5.34,0.02,0.19
Roasted Chicken,6.36,60.37,917.43,109.22,48.06,2.32,1.04,0,174.51,256.04,87.07,65.36,18.49,4.2,4.66,0.16,574.91,51.33,0.2,0.14
Kebab,9.36,78.76,824.48,79.15,52.77,1.23,5.61,3.3,246.61,279.96,145.72,177.52,113.47,2.43,3.64,0.48,232.94,55.63,0.18,0.25
Olive Oil,6.53,53.74,1948.64,0,220.43,2.2,6.35,0,585.3,397.94,12.81,290.41,53.73,3.21,0.27,0.49,281.31,17.11,0.38,0.15
Ghorayeba,2.56,71.76,1361.37,14.18,90.76,0.66,3.25,79.41,450.37,481.43,93.03,198.82,61.23,4.77,4.04,0.08,174.15,41.58,0.16,0.35
Taameya Baked,7.36,74.59,1234.82,66.89,51.45,1.09,0.56,102.9,269.54,376.18,101.74,292.44,91.18,2.32,4.73,0.33,252.38,2.41,0.41,0.34
Karkade,4.68,67.49,125.06,0.42,0,0.77,3.67,29.18,334.96,536.07,176.26,283.45,102.54,2.15,4.3,0.13,448.82,31.22,0.14,0.4
Ghorayeba,6.49,48.93,1926.45,20.07,128.43,1.94,5.52,112.38,324.4,453.37,162.59,274.16,97.97,1.8,4.53,0.17,796.17,28.27,0.42,0.44
Omelette,10.91,62.19,259.77,18.76,18.76,2.29,0.03,2.89,490.54,411.52,194.51,108.03,35.89,5.54,3.35,0.3,217.52,10.82,0.46,0.14
Atayef,12.66,70.56,1405.56,26.35,52.71,1.48,0.4,175.69,197.1,481.58,198.9,263.98,88.9,3.82,2.54,0.32,222.59,36.22,0.11,0.34
Beef Lean,12.16,59.85,967.46,100.62,65.79,1.83,1.36,0,38.69,418.21,118.33,76.86,10.13,5.03,2.74,0.49,40.27,58.57,0.02,0.09
Mahshi Mixed,10.7,56.92,237.99,10.2,8.5,1.97,0.97,30.6,24.91,102.4,130.91,61.57,118.12,3.91,0.76,0.46,585.75,35.88,0.47,0.31
Boiled Egg,9.69,64.35,269.53,22.61,19.13,0.54,7.89,1.91,78.18,116.7,96.6,267.81,53.48,2.05,4.82,0.09,576.45,55.82,0.34,0.23
Shorbat Freekeh,7.86,62.97,50.89,2.68,1.61,2.34,3.38,8.04,388.01,186.68,11.96,242.57,19.18,1.88,3.11,0.21,245.35,13.45,0.33,0.14
Milk Full Fat,14.95,45.27,188.99,9.3,10.18,1.51,3.6,13.96,271.05,489.6,93.62,63.19,62.01,2.39,0.99,0.27,370.31,45.11,0.34,0.16
White Cheese,0.29,76.68,724.74,26.57,60.39,0.73,1.27,7.25,119.01,553.27,111.51,55.21,57.07,0.39,4.59,0.2,791.4,16.38,0.36,0.02
Sobia,9.09,54.68,381.84,5.45,13.64,1.19,2.37,54.55,118.65,552.02,98.07,192.01,98.01,5.42,1.55,0.2,389.02,8.34,0.41,0.31
Tea with Sugar,8.69,76.84,42.82,0,0,2.4,0.77,10.7,34.93,189.48,195.07,231.41,35.76,0.58,1.98,0.01,761.61,19.74,0.4,0.49
Taameya Fried,6.23,43.97,356.91,14.5,20.08,0.81,5.18,29,17.32,257.1,11.55,117.52,26.26,5.79,0.3,0.32,670.01,31.67,0.27,0.15
Omelette,6.51,65.39,669.08,48.32,48.32,2.05,3.07,7.43,249.01,228.07,27.99,258.78,16.27,3.85,1.16,0.27,286.04,56.8,0.25,0.3
Black Coffee,4.28,58.94,8.85,0,0,0.61,7.97,0,228.95,308.26,191.07,76.56,104.15,5.29,3.25,0.26,738.06,52.03,0.28,0.29
Orange,4.64,49.67,204.24,3.91,0.43,2.24,1.72,52.15,596.04,386.74,78.84,103.12,35.75,5.26,4.71,0.22,591.31,13.31,0.28,0.17
Orange,10.25,69.87,80,1.53,0.17,1.94,4.06,20.43,316.61,320.66,165.61,286.07,79.76,5.05,0.6,0.41,18.86,29.28,0.35,0.17
Ghorayeba,6.4,57.4,2054.6,21.4,136.97,1.67,0.2,119.85,202.67,367.08,167.37,197.78,87.53,3.6,3.27,0.35,538.41,20.07,0.16,0.27
Karkade,12.35,59.31,81.59,0.27,0,1.5,4.65,19.04,427.89,365.95,173.43,193.06,109.29,3.12,4.37,0.23,70.94,55.61,0.39,0.04
Shorbet Adas,6.2,61.62,91.34,4.57,2.28,1.19,5.74,13.7,32.25,190.95,180.14,274.13,92.45,5.15,4.26,0.22,234.07,41.78,0.08,0.48
Molokhia,14.74,68.51,112.56,7.16,4.09,1.84,4.74,12.28,509.61,583.05,144.08,209.53,110.78,1.9,4.16,0.49,413.48,54.87,0.07,0.41
Butter,11.26,64.16,2110.94,2.65,238.47,1.84,0.17,0.29,105.56,399.89,163.72,185.69,45.12,2.79,3.5,0.34,42.46,34.02,0.14,0.22
Black Eyed Peas,14.64,78.97,118.55,6.38,1.37,0.53,4.44,20.06,593.44,182.47,47.66,53.83,104.05,2.74,1.93,0.07,148.53,1.46,0.26,0.01
Fried Fish,13.33,52.78,975.28,88.66,62.06,1.3,5.73,0,232.79,262.41,155.86,132.62,113,2.15,2.73,0.44,9.31,32.14,0.12,0.46
Olive Oil,1.72,76.89,903.76,0,102.23,0.52,0.71,0,233.78,483.33,142.92,290.82,97.37,4.35,4.91,0.13,677.43,22.24,0.04,0.21
Tamarind Drink,10.31,71.32,24.84,0.3,0.1,1.27,1.91,6.46,449.07,276.59,107.31,263.99,38.71,4.93,0.29,0.23,624.9,28.36,0.05,0.15
Grilled Chicken Breast,7.17,55.72,315.86,59.34,6.89,1.86,0.65,0,57.48,528.71,157.51,140.79,97.61,0.75,3.34,0.38,530.6,15,0.41,0.47
Dates,8.94,52.74,639.49,5.67,0.91,0.84,2.47,170.08,10.17,542.98,137.86,299.94,88.07,1.22,4.51,0.4,670.21,31.95,0.16,0.02
Apple,9.3,73.64,162.16,0.94,0.62,2.4,2.54,43.66,522.24,241.28,12.34,123.52,100.04,1.92,3.02,0.12,730.89,3.58,0.29,0.06
Omelette,5.16,47.12,730.33,52.75,52.75,1.38,1.8,8.11,22.63,268,13.64,205.79,97.61,1.37,2.84,0.1,610,59.57,0.12,0.23
Grilled Chicken Breast,6.79,58.39,189.41,35.59,4.13,2.26,1.21,0,140.57,436.35,62.72,262.56,31,0.52,3.09,0.32,396.46,39.08,0.09,0.41
Taameya Fried,8.94,55.64,802.57,32.6,45.14,0.78,1.9,65.21,64.09,379.24,93.86,261.5,58.4,3.05,2.21,0.19,324.8,56.27,0.39,0.3
Taameya Fried,13.49,53.97,1158.3,47.06,65.15,1.38,2.21,94.11,348.32,184.76,121.78,76.48,95.99,1.16,3.68,0.31,536.27,10.42,0.27,0.18
Fried Fish,12.82,49.1,809.24,73.57,51.5,2.5,6.42,0,441.53,307.16,140.34,158.82,22.97,2.98,0.28,0.39,335.8,16,0.37,0.45
Grilled Chicken Breast,12.35,47.26,558.56,104.94,12.19,2.33,0.67,0,75,352.23,81.39,280.39,27.04,2.27,1.62,0.4,448.72,47.07,0.19,0.09
Cooked White Rice,14.51,61.42,644.4,11.9,1.49,0.52,2.97,138.79,123.57,582.59,54.21,192.87,43.57,3.51,4.48,0.04,574.48,39.54,0.08,0.18
Ghee,12.9,54.06,2485.58,0,276.18,1.25,1.39,0,219.48,323.96,16.07,145.45,60.62,1.25,4.92,0.14,119.13,37.3,0.22,0.05
Mahshi Pepper,5.54,59.73,427.06,11.65,11.65,0.82,6.96,77.65,436.52,124.11,49.29,146.49,97.58,3.82,4.59,0.03,719.89,32.47,0.05,0.33
Ful Medames,3.4,50.6,472.32,31.49,13.99,2.46,5.16,69.97,349.36,399.23,192.51,170.84,111.04,5.51,4.58,0.27,369.81,39.37,0.01,0.4
Chicken Liver,5.37,52.83,732.79,106.59,22.21,0.67,4,4.44,488.79,389.13,137.81,218.4,87.53,1.83,1.15,0.18,685.86,56.65,0.08,0.24
Banana,8.46,52.45,230.84,2.85,0.78,2.09,0.2,59.66,161.29,528.15,154.29,217.34,81.58,2.55,1.68,0.49,37.09,55.43,0.48,0.14
Molokhia with Chicken,9.3,71,493.66,23.38,18.19,1.37,3.59,62.36,192.86,240.75,72.51,289.34,99.66,4.91,4.87,0.36,506.46,7.2,0.42,0.36
Hawawshi,10.98,72.48,984.06,41.27,38.09,0.89,1.43,107.93,472.19,453.9,29.1,235.19,58.91,0.62,1.64,0.41,102.06,38.48,0.21,0.42
Mahshi Pepper,2.05,61.08,553.78,15.1,15.1,2.2,2.39,100.69,160.6,203.47,120.14,157.54,107.74,0.71,2.1,0.42,123.46,10.76,0.28,0.44
Tamarind Drink,11.53,76.42,219.91,2.64,0.88,2.26,4.12,57.18,237.86,194.4,83.1,173.93,46.71,3.89,3.88,0.3,508.44,41.62,0.49,0.28
Roasted Chicken,11.23,66.98,231.57,27.57,12.13,1.51,7.97,0,251.56,579.14,51.79,130.29,104.06,2.93,0.43,0.08,423.32,5.05,0.43,0.4
Mahshi Pepper,7.24,46.97,263.04,7.17,7.17,0.54,1.7,47.82,107.6,135.44,186.48,244.14,73.72,4.52,2.24,0.23,149.84,8.58,0.37,0.18
Chickpeas Cooked,12.64,53.04,154.55,8.48,2.45,0.83,7.91,25.44,543.2,183.81,28.46,103.07,81.32,5.46,4.92,0.22,619.43,52.31,0.4,0.06
Moussaka Egyptian,0.8,43.94,246.9,11.4,11.4,1.33,1.05,22.79,441.82,385.21,88.28,59.48,65.5,5.07,4.3,0.41,540.87,19.04,0.22,0.24
White Bread,10.09,46.77,587.23,19.94,7.09,1.22,0.44,108.58,294.12,587.91,172.92,167.91,113.85,0.58,2.72,0.36,794.7,46.65,0.22,0.26
Molokhia,4.95,49.1,68.51,4.36,2.49,1.42,4.83,7.47,101.79,319.86,91.45,245.36,94.44,3.73,3.91,0.18,193.83,26.23,0.36,0.08
Lamb,10.37,56.64,1008.91,85.79,72.07,0.89,7.16,0,103.4,430.18,115.35,253.66,54.94,4.79,0.2,0.25,126.13,10.05,0.07,0.46
Labneh,9.24,49.81,458.22,38.18,30.55,1.33,7.5,11.46,15.55,392.11,195.86,174.82,17.51,4.13,1.32,0.41,282.09,8.02,0.41,0.15
Domiati Cheese,4.44,44.29,1296.6,67.23,105.65,1.13,3.49,14.41,30.66,188.02,52.07,176.55,20.3,0.92,4.04,0.28,99.82,6.39,0.44,0.31
Bamia,3.37,45.59,269.93,12.7,9.53,0.86,4.96,31.76,375.48,580.86,30.08,189.3,22.06,0.5,3.06,0.43,675.71,59.81,0.46,0.02
Vegetable Oil,5.22,59.37,3403.51,0,385.01,1.69,2.18,0,148.93,342.81,36.3,234.01,38.9,3.48,0.89,0.06,619.36,8.03,0.39,0.14
Dates,7.31,49.26,1417.35,12.57,2.01,1.42,7.98,376.96,362.89,534.36,126.83,150.06,78.11,1.66,0.24,0.06,518.19,40.35,0.12,0.3
White Cheese,1.8,53.4,1546.66,56.71,128.89,2.2,1.32,15.47,473.7,143.34,14.78,247.37,76.08,0.63,4.67,0.28,706.3,44.44,0.04,0.33
White Bread,5.39,72.64,267.02,9.07,3.22,1.02,3.51,49.37,435.93,186.12,119.47,241.1,46.92,1.7,4.47,0.4,157.43,9.84,0.13,0.49
Roasted Chicken,9.64,74.08,704.39,83.86,36.9,1.55,1.8,0,57.67,154.78,76.42,78.03,112.16,0.47,1.61,0.07,687.15,40.67,0.5,0.07
Mango,0.72,73.94,155.04,2.07,1.03,0.6,4.71,38.76,211.61,474.33,152.24,150.54,52.37,1.67,0.97,0.25,53.62,12.68,0.37,0.22
Om Ali,11.02,60.33,835.83,22.8,30.39,1.34,2.44,113.98,55.18,382.14,167.79,239.56,52.64,1.35,1.94,0.33,590.66,16,0.41,0.13
Kofta,7.22,63.82,463.35,35.64,32.08,1.44,5.56,8.91,509.91,565.28,53.78,270.34,104.31,4.89,1.07,0.38,402.38,36.45,0.31,0.14
Kaak,4.24,67.38,1167.64,16.68,61.16,0.93,2.42,83.4,370.28,378.33,186.9,208.9,21.88,3.25,4.65,0.02,105.14,27.61,0.02,0.06
Chicken Thigh Stewed,0.14,79.35,716.53,88.71,37.53,1.63,4.66,0,208.24,260.44,59.37,206.63,34.73,5.1,3.33,0.34,240.84,7.88,0.26,0.36
Grilled Fish,14.73,60.18,153.14,25.16,5.47,0.59,5.69,0,541.68,499.43,157,224.37,72.47,5.78,0.47,0.39,32.09,36.15,0.05,0.13
Banana,12.45,60.29,318.7,3.94,1.07,0.76,2.27,82.36,174.45,221.13,95.24,78.34,77.75,5.9,1.31,0.16,777.03,14.77,0.33,0.36
Yogurt,8.5,67.95,127.03,7.41,6.35,2.21,0.1,10.59,83.76,225.13,137.53,285.54,65.18,2.69,0.74,0.15,274.08,5.47,0.31,0.15
Omelette,11.02,78.42,422.22,30.49,30.49,2.21,5.79,4.69,573.04,361.34,158.29,230.48,49.58,4.57,2.92,0.22,604.77,4.31,0.04,0.16
Ghee,12.12,53.38,2394.31,0,266.03,1.71,1.83,0,323.68,599.18,199.11,210.23,118.27,0.69,4.64,0.14,234.54,8.97,0.16,0.31
Boiled Egg,3.88,48.44,846.49,71,60.07,1.55,5,6.01,425.62,463.7,61.71,200.96,119.23,2.63,1.31,0.04,36.06,0.47,0.42,0.29
Mango,8.79,45.67,89.51,1.19,0.6,2.25,0.2,22.38,559.15,520.31,159.17,102.42,92.77,1.4,0.4,0.28,252.67,53.31,0.31,0.2
Kaak,8.7,63.75,1563.67,22.34,81.91,0.69,2.2,111.69,258.52,347.57,141.25,263.86,71.58,1.17,1.09,0.38,511.67,58.21,0.12,0.23
Ful Medames,0.78,50.48,558.96,37.26,16.56,0.57,4.81,82.81,15.01,516.54,45.71,163.16,58.68,0.69,3.31,0.46,107.05,26.59,0.12,0.29
Boiled Egg,2.56,65.85,470.35,39.45,33.38,2.29,3.51,3.34,391.12,267.42,156.97,167.72,71.85,5.18,2.74,0.39,717.11,1.62,0.18,0.45
Ful Medames with Oil,10.76,41.39,713.44,32.1,35.67,0.55,1.73,71.34,471.83,318.59,115.28,98.62,81.55,4.74,4.05,0.44,24.17,42.1,0.36,0.26
Basbousa,6.46,72.11,217.7,2.94,7.06,1.05,4.06,32.36,142.86,211.08,126.1,212.87,83.93,4.98,0.46,0.19,278.53,46.81,0.45,0.04
Milk Full Fat,7.68,56.84,34.74,1.71,1.87,2.25,2.23,2.57,360.96,368.98,75.61,125.32,70.26,2.65,1.87,0.48,771.35,49.25,0.48,0.23
Kaak,1.92,51.58,1028.52,14.69,53.87,1.49,2.75,73.47,148.24,381.49,134.51,211.37,81.36,4.64,0.33,0.05,396.98,55,0.32,0.46
Chicken Liver,13.01,56.85,340.29,49.5,10.31,1.38,3.27,2.06,519.95,584.33,94.91,251.33,62.43,5,1.47,0.48,501.54,10.11,0.08,0.24
Cooked White Rice,5.48,44.86,268.32,4.95,0.62,0.52,2.88,57.79,60.66,287.38,54.11,182.48,73.17,3.99,4.28,0.38,655.24,11.1,0.28,0.15
Shorbet Adas,7.49,53.12,213.72,10.69,5.34,2.12,3.93,32.06,79.87,501.86,175.51,286.37,101.01,4.07,4.07,0.05,775.31,45.23,0.49,0.05
Molokhia with Chicken,9.21,49.64,301.98,14.3,11.13,2.28,3.9,38.14,489.31,555.53,29.6,138.64,79.73,2.28,1.66,0.05,297.43,40.18,0.01,0.47
Mahshi Vine Leaves,9.26,52.46,576.46,9.61,19.22,1.9,2.61,86.47,209.7,117.36,92.51,51.69,51.66,2.33,0.8,0.18,32.95,19.9,0.36,0.2
Moussaka Egyptian,0.99,52.24,584.97,27,27,2.13,0.35,54,135.18,538.32,163.13,101.49,37.74,4.74,0.86,0.17,220.78,16.11,0.13,0.38
Hawawshi,9.31,72.53,792.53,33.24,30.68,2.09,4.6,86.92,220.13,564.2,193.69,190.76,99.45,3.03,1.52,0.09,167.16,2.18,0.13,0.38
Hawawshi,14.32,79.9,1187.16,49.78,45.95,1.73,3.12,130.2,177.83,305.46,82.06,195.17,109.37,2.8,3.38,0.37,750.6,27.18,0.03,0.47
Black Eyed Peas,2.25,63.98,351.78,18.94,4.06,1.18,7.18,59.53,48.24,101.71,62.52,218.24,97.9,1.12,2.98,0.21,222.47,58.16,0.28,0.44
Kaak,6.65,55.86,2031.48,29.02,106.41,0.51,3.68,145.11,177.95,254.88,43.56,51.1,26.91,3.14,1.04,0.45,593.35,21.32,0.4,0.16
Beef Liver,13.82,64.2,880.45,144.07,21.34,1.81,4.99,21.34,291.12,451.05,171.78,189.9,59.98,4.23,2.51,0.06,521.25,24.37,0.06,0.44
Labneh,5.96,72.59,158.03,13.17,10.54,2.44,5.46,3.95,421.29,570.54,171.54,178.3,48.96,2.9,3.53,0.43,273.07,22.71,0.44,0.42
Atayef,1.09,70.13,772.46,14.48,28.97,1.66,5.21,96.56,161.57,385.61,138.24,99.59,60.58,4.77,4.8,0.47,378.51,57,0.03,0.31
Black Eyed Peas,2.65,69.87,355.31,19.13,4.1,1.77,2.06,60.13,443.23,135.02,53.5,134.34,86.03,4.52,1.84,0.12,203.55,49.93,0.1,0.43
Taameya Baked,8.26,41.27,1186.62,64.28,49.44,0.62,0.54,98.89,281.91,347.53,74.37,208.22,22.37,5.17,2.79,0.32,233.37,57.97,0.25,0.21
Labneh,4.35,68.5,173.9,14.49,11.59,1.78,5.73,4.35,478.66,200.68,103.78,56.79,114.71,2.04,1.35,0.07,27.77,56,0.05,0.38
Beef Lean,2.94,79.24,184.2,19.16,12.53,1.61,4.65,0,373.01,457.02,174.62,269.77,105.24,4.56,1.02,0.04,612.55,17.27,0.47,0.3
Vegetable Oil,10.62,60.54,1481.66,0,167.61,1.49,2.34,0,27.36,190.67,74.06,166.73,112.53,3.87,1.61,0.04,369.84,24.53,0.46,0.16
Om Ali,10.78,70.63,608.2,16.59,22.12,2.46,4.93,82.94,257.86,119.55,140.8,122.83,89.59,2.04,2.68,0.08,396.21,41.3,0.13,0.34
Olive Oil,10.6,51.92,2513.82,0,284.37,1.06,3.85,0,566.81,540.12,16.84,189.02,17.75,0.89,3.48,0.24,219.54,55.96,0.4,0.45
Sobia,2.49,52.62,688.69,9.84,24.6,2.2,1.11,98.38,420.21,331.78,170.15,104.16,110.97,2.17,3.34,0.21,326.05,31.12,0.27,0.48
Butter,4.87,60.85,623.59,0.78,70.45,1.35,0.16,0.09,233.17,148.73,167.01,203.74,85.04,1.38,4.1,0.02,543.64,20.79,0.27,0.4
Yogurt,11.31,49.4,230.46,13.44,11.52,2.33,2.72,19.21,496.87,474.63,162.48,244.92,67.48,0.67,1.04,0.33,63.19,44.36,0.47,0.43
Chicken Liver,2.28,77.74,516.2,75.08,15.64,1.94,7.04,3.13,287.57,570.78,66.17,298.41,79.09,3.19,0.23,0.29,470.51,22.3,0.14,0.39
Boiled Egg,9.31,58.91,97.33,8.16,6.91,1.29,2.39,0.69,292.37,321.72,129.58,239.37,31.67,5.85,4.2,0.49,95.9,26.35,0.24,0.45
White Cheese,8.36,64.33,1354.27,49.66,112.86,2.13,5.5,13.54,403.63,384.12,42.81,199.65,103.95,3.61,4.13,0.17,661.96,51.17,0.33,0.26
Tamarind Drink,4.58,53.32,228.78,2.75,0.92,1.31,3.16,59.48,291.02,259.8,108.43,111.43,92.81,5.39,3.41,0.48,553.99,49.21,0.36,0.48
Cooked White Rice,4.21,53.68,413.11,7.63,0.95,2.02,3.72,88.98,285.31,176.54,166.8,237.21,114.15,0.6,3.85,0.26,534.16,27.23,0.37,0.11
Om Ali,9.91,56.32,874.72,23.86,31.81,2.1,4.58,119.28,162.18,408.79,97.25,210.52,65.49,4.67,1.15,0.11,639.77,31.47,0.16,0.38
Zucchini Stew,3.79,56.22,158.53,3.52,5.28,0.7,6.25,21.14,457.73,272.85,33.66,173.13,45.69,4.15,2.83,0.16,633.88,44.42,0.09,0.12
Qatayef Asafiri,9.14,41.38,386.94,6.45,15.48,1.26,2.46,51.59,393.13,286.75,68.11,210.37,37.65,2.82,4.54,0.2,416.58,31.2,0.24,0.06
Zucchini Stew,11.87,56.18,55.36,1.23,1.85,1.14,4.51,7.38,30.05,130.4,25.24,251.98,82.61,4.63,3.14,0.34,118.5,31.86,0.32,0.25
Raw White Rice,9.94,68.22,1848.9,36.46,3.08,2.24,6.07,405.73,143.33,365.56,123.68,231.05,73.14,0.61,3.69,0.1,407.64,50.17,0.34,0.28
Black Eyed Peas,2.76,58.8,668.11,35.97,7.71,1.35,7.19,113.06,265.33,400.35,79.91,245.81,33.27,1.84,1.06,0.36,353.63,13.83,0.34,0.16
Mahshi Mixed,6.6,41.65,421.32,18.06,15.05,1.99,3.95,54.17,234.7,129.17,196.41,51.49,46.62,1.72,2.34,0.04,297.09,4.86,0.01,0.39
Vegetable Oil,8.37,57.39,3277.27,0,370.73,2.23,4.99,0,193.44,380.74,101.92,216.7,40.67,3.24,1.31,0.15,478.68,48.01,0.08,0.29
Molokhia with Chicken,1.75,66.19,201.92,9.56,7.44,1.77,6.04,25.51,489.11,419.1,169.9,118.23,36.09,0.21,0.85,0.48,428.25,48.18,0.2,0.03
Olive Oil,14.04,79.57,2235.71,0,252.91,1.28,1.75,0,147,112.72,173.27,111.13,103.63,4.71,3.86,0.08,469.37,58.66,0.09,0.03
